,car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
1191,Jaguar Mark VII M 3.4L - [1955],190,5500,203.0,3000.0,0.0,3442.0,210.0,104.0,167.0,107.4,1955,1950s,Jaguar,1.7690875232774699,114.74842105263201
1192,Mini Cooper S John Cooper Works - [2008],189,6000,199.0,1750.0,0.0,1598.0,97.5,145.0,233.0,167.2,2008,2000s,Mini,1.13038277511962,176.04656084656102
1193,Toyota Celica 1.8 VVTi T-Sport 190 - [2003],189,7600,133.0,6800.0,0.0,1794.0,109.4,140.0,225.0,155.5,2003,2000s,Toyota,1.21543408360129,109.425925925926
1194,Vauxhall-Opel Corsa 1.6 VXR - [2007],189,5850,192.0,1980.0,0.0,1598.0,97.5,140.0,225.0,162.0,2007,2000s,Vauxhall-Opel,1.16666666666667,164.571428571429
1195,Lotus Elise 111R - [2004],189,7800,133.0,6800.0,0.0,1796.0,109.5,143.0,230.0,219.7,2004,2000s,Lotus,0.8602639963586709,154.60370370370399
1196,Bentley T 6.2 V8 - [1965],188,4500,354.0,2500.0,0.0,6231.0,380.2,114.0,183.0,89.5,1965,1960s,Bentley,2.1005586592178798,168.526595744681
1197,Honda Integra 1.8 Type R DC2 - [1996],187,8000,131.0,7300.0,0.0,1797.0,109.6,145.0,233.0,169.8,1996,1990s,Honda,1.10129564193168,118.950802139037
1198,Alfa-Romeo 75 3.0 V6 - [1987],187,5800,181.0,4000.0,0.0,2959.0,180.5,137.0,220.0,154.5,1987,1980s,Alfa-Romeo,1.21035598705502,149.542780748663
1199,Lancia Stratos 2.5 V6 - [1974],187,7000,166.0,4000.0,0.0,2419.0,147.6,143.0,230.0,190.8,1974,1970s,Lancia,0.980083857442348,169.373262032086
1200,Lotus Exige S2 1.8 - [2004],187,7800,133.0,6800.0,0.0,1796.0,109.5,140.0,225.0,213.7,2004,2000s,Lotus,0.8750584932147869,151.989839572192
1201,MG ZT 2.5 V6 190 - [2001],187,6500,180.0,4000.0,0.0,2497.0,152.3,141.0,226.0,125.9,2001,2000s,MG,1.4853057982525801,121.187165775401
1202,Rover SD1 Vitesse 3.5L V8 - [1984],187,5280,220.0,4000.0,0.0,3532.0,215.5,135.0,217.0,129.8,1984,1980s,Rover,1.44067796610169,152.705882352941
1203,Ford Fiesta ST185 - [2009],185,6700,147.0,3500.0,0.0,1999.0,121.9,129.0,207.0,162.7,2009,2000s,Ford,1.13706207744315,129.280540540541
1204,Lancia Delta Integrale 8v - [1988],185,0,224.0,0.0,0.0,1994.0,121.6,133.0,214.0,148.0,1988,1980s,Lancia,1.25,179.2
1205,Saab 900 2.0 Turbo 16v S - [1984],185,5300,201.0,3000.0,0.0,1985.0,121.1,131.0,210.0,138.0,1984,1980s,Saab,1.34057971014493,149.935135135135
1206,Toyota Celica GT Four ST165 - [1986],185,6000,177.0,4000.0,0.0,1998.0,121.9,137.0,220.0,137.0,1986,1980s,Toyota,1.3503649635036499,131.075675675676
1207,Rover P5 B 3.5 V8 - [1967],184,5200,226.0,3000.0,0.0,3528.0,215.2,115.0,185.0,115.9,1967,1960s,Rover,1.58757549611734,142.355434782609
1208,Rover P5 B 3.5 V8 Coupe - [1967],184,5200,226.0,3000.0,0.0,3528.0,215.2,115.0,185.0,115.9,1967,1960s,Rover,1.58757549611734,142.355434782609
1209,Toyota Camry 3.0 V6 - [2002],184,5300,201.0,4300.0,0.0,2995.0,182.7,140.0,225.0,122.6,2002,2000s,Toyota,1.50081566068516,133.927173913043
1210,Honda Civic Type R EK9 - [1997],183,8200,118.0,7500.0,0.0,1595.0,97.3,0.0,0.0,167.8,1997,1990s,Honda,1.09058402860548,108.198907103825
1211,Renault 25 2.5 V6 Turbo - [1985],182,5500,207.0,3000.0,0.0,2458.0,149.9,137.0,220.0,135.8,1985,1980s,Renault,1.34020618556701,154.453846153846
1212,Audi TT 1.8T 180 - [1998],181,5500,173.0,1950.0,0.0,1781.0,108.6,134.0,215.0,127.5,1998,1990s,Audi,1.4196078431372499,121.864640883978
1213,Mini Cooper S Paceman - [2012],181,5500,192.0,1700.0,0.0,1598.0,97.5,135.0,217.0,131.1,2012,2010s,Mini,1.38062547673532,139.067403314917
1214,Mini Cooper Cooper S - [2011],181,5500,192.0,1600.0,0.0,1598.0,97.5,143.0,230.0,145.9,2011,2010s,Mini,1.24057573680603,154.766850828729
1215,Volkswagen(VW) Golf GTD DSG 2.0 Turbo Diesel - [2013],181,3500,280.0,1750.0,0.0,1968.0,120.0,142.0,228.0,129.7,2013,2010s,Volkswagen(VW),1.39552814186584,200.640883977901
1216,Seat Leon SC 2.0 TDI FR - [2013],181,4000,280.0,1750.0,0.0,1968.0,120.0,142.0,228.0,134.0,2013,2010s,Seat,1.35074626865672,207.292817679558
1217,Skoda Octavia RS TDI - [2013],181,3500,280.0,1750.0,0.0,1968.0,120.0,144.0,231.0,123.1,2013,2010s,Skoda,1.47034930950447,190.430939226519
1218,Peugeot 206 2.0 GTi 180 - [1999],180,7000,152.0,4750.0,0.0,1997.0,121.8,143.0,230.0,160.0,1999,1990s,Peugeot,1.125,135.111111111111
1219,Renault Clio 2.0 16V 182 Cup - [2004],180,6500,148.0,5250.0,0.0,1998.0,121.9,139.0,223.0,168.2,2004,2000s,Renault,1.07015457788347,138.297777777778
1220,Renault Clio 2.0 16V Renaultsport Trophy 182 - [2004],180,6500,148.0,5250.0,0.0,1998.0,121.9,138.0,222.0,165.1,2004,2000s,Renault,1.09024833434282,135.748888888889
1221,Skoda Octavia 1.8t vRS - [2001],180,0,173.0,0.0,0.0,1781.0,108.6,146.0,234.0,130.9,2001,2000s,Skoda,1.37509549274255,125.80944444444401
1222,Jaguar XK 120 SE FHC - [1948],180,5300,203.0,4000.0,0.0,3442.0,210.0,121.0,194.0,131.1,1948,1940s,Jaguar,1.3729977116704801,147.851666666667
1223,Ferrari 206 Dino GT - [1968],180,8000,138.0,6500.0,0.0,1987.0,121.2,140.0,225.0,157.8,1968,1960s,Ferrari,1.1406844106463898,120.98
1224,Lotus Excel SA 2.2 16v - [1986],180,6500,165.0,5000.0,0.0,2174.0,132.6,124.0,199.0,152.9,1986,1980s,Lotus,1.17724002616089,140.158333333333
1225,Lotus Excel SE 2.2 16v - [1985],180,6500,165.0,5000.0,0.0,2174.0,132.6,135.0,217.0,153.7,1985,1980s,Lotus,1.1711125569290801,140.891666666667
1226,Oldsmobile Cutlass Calais HO Quad 4 - [1989],180,6200,160.0,5200.0,0.0,2260.0,137.9,125.0,201.0,144.8,1989,1980s,Oldsmobile,1.24309392265193,128.711111111111
1227,Ford Fiesta ST 1.6 Turbo - [2013],180,5700,177.0,1600.0,0.0,1596.0,97.3,137.0,220.0,154.7,2013,2010s,Ford,1.1635423400129299,152.121666666667
1228,Audi 200 2.1 Turbo Quattro - [1985],179,5700,186.0,3600.0,0.0,2144.0,130.8,143.0,230.0,126.9,1985,1980s,Audi,1.4105594956658798,131.862569832402
1229,Seat Leon 1.8 20vt Cupra - [2000],178,5500,173.0,5000.0,0.0,1781.0,108.6,142.0,228.0,134.6,2000,2000s,Seat,1.32243684992571,130.819101123596
1230,Seat Ibiza Cupra 1.8 20v Turbo - [2007],178,5800,181.0,2000.0,0.0,1781.0,108.6,143.0,230.0,151.2,2007,2000s,Seat,1.17724867724868,153.748314606742
1231,Seat Ibiza Cupra 1.8 20VT - [2004],178,5800,181.0,2000.0,0.0,1781.0,108.6,142.0,228.0,151.2,2004,2000s,Seat,1.17724867724868,153.748314606742
1232,Skoda Fabia 1.4 vRS - [2010],178,6200,184.0,2000.0,0.0,1390.0,84.8,140.0,225.0,135.5,2010,2010s,Skoda,1.3136531365313702,140.06741573033702
1233,Vauxhall-Opel Monza GSE 3.0 - [1985],178,5800,183.0,4200.0,0.0,2969.0,181.1,134.0,215.0,130.2,1985,1980s,Vauxhall-Opel,1.36712749615975,133.857303370786
1234,MG ZS 2.5 V6 180 - [2001],177,3500,100.0,3000.0,0.0,2500.0,152.5,135.0,217.0,118.0,2001,2000s,MG,1.5,66.6666666666667
1235,Pontiac Solstice Coupe 2.4 16V - [2006],177,6600,166.0,4800.0,0.0,2384.0,145.4,120.0,193.0,136.1,2006,2000s,Pontiac,1.3005143277002198,127.641807909605
1236,Mitsubishi Colt Starion Turbo - [1985],177,6000,214.0,3500.0,0.0,1997.0,121.8,135.0,217.0,144.4,1985,1980s,Mitsubishi,1.22576177285319,174.585310734463
1237,AMC Hornet 360 V8 - [1974],177,4000,285.0,2400.0,0.0,5896.0,359.7,116.0,186.0,119.1,1974,1970s,AMC,1.4861460957178798,191.77118644067798
1238,Seat Leon Sport FR 1.8 20VT 180 - [2002],177,5500,173.0,4500.0,0.0,1781.0,108.6,142.0,228.0,137.3,2002,2000s,Seat,1.28914785142025,134.197175141243
1239,Seat Ibiza Cupra 1.4 Turbo - [2009],177,6200,184.0,2000.0,0.0,1390.0,84.8,140.0,225.0,151.0,2009,2000s,Seat,1.1721854304635801,156.971751412429
1240,Volkswagen(VW) Polo GTi 1.4 Turbo Supercharged - [2010],177,6200,184.0,2000.0,0.0,1390.0,84.8,142.0,228.0,148.2,2010,2010s,Volkswagen(VW),1.19433198380567,154.06101694915301
1241,Seat Leon SC 1.8 FR Start-Stop DSG - [2013],177,5100,184.0,1250.0,0.0,1798.0,109.7,139.0,223.0,135.4,2013,2010s,Seat,1.30723781388479,140.75480225988701
1242,Volvo V40 T4 1.6 Turbo - [2012],177,5700,199.0,1600.0,0.0,1596.0,97.3,140.0,225.0,128.7,2012,2010s,Volvo,1.37529137529138,144.696610169492
1243,Mini Cooper S R56 - [2006],175,5500,192.0,1700.0,0.0,1598.0,97.5,140.0,225.0,154.8,2006,2000s,Mini,1.1304909560723502,169.837714285714
1244,Saab 9000 2.0 Turbo - [1986],175,5300,201.0,3000.0,0.0,1985.0,121.1,141.0,226.0,132.9,1986,1980s,Saab,1.3167795334838202,152.64514285714301
1245,Ford Capri 3000S X Pack - [1978],175,5000,194.0,4000.0,0.0,2994.0,182.7,130.0,209.0,149.5,1978,1970s,Ford,1.17056856187291,165.731428571429
1246,Mercedes 190 Series E 2.3-16 - [1987],175,5800,170.0,4750.0,0.0,2299.0,140.2,142.0,228.0,142.2,1987,1980s,Mercedes,1.2306610407876202,138.137142857143
1247,Volkswagen(VW) Golf 2.8 VR6 - [1991],174,5800,170.0,4200.0,0.0,2792.0,170.3,137.0,220.0,150.6,1991,1990s,Volkswagen(VW),1.15537848605578,147.137931034483
1248,Volkswagen(VW) Vento 2.8 VR6 - [1992],174,5800,173.0,4200.0,0.0,2792.0,170.3,140.0,225.0,143.8,1992,1990s,Volkswagen(VW),1.21001390820584,142.973563218391
1249,Peugeot 206 RC 2.0 16v - [2003],174,7000,149.0,4750.0,0.0,1997.0,121.8,137.0,220.0,158.1,2003,2000s,Peugeot,1.10056925996205,135.384482758621
1250,Renault Megane Renaultsport 2.0 dCi 175 - [2007],173,3750,265.0,2000.0,0.0,1995.0,121.7,137.0,220.0,117.6,2007,2000s,Renault,1.47108843537415,180.13872832369898
1251,Ginetta G40 R 2.0L - [2011],173,6700,141.0,5000.0,0.0,1999.0,121.9,140.0,225.0,217.6,2011,2010s,Ginetta,0.795036764705882,177.350289017341
1252,Ford Thunderbird 400 6.6L V8 7th Gen - [1977],173,3800,326.0,1600.0,0.0,6590.0,402.1,114.0,183.0,87.8,1977,1970s,Ford,1.9703872437357601,165.44971098265898
1253,Alfa-Romeo 156 2.4 JTD - [2003],172,4000,284.0,2000.0,0.0,2387.0,145.6,134.0,215.0,127.4,2003,2000s,Alfa-Romeo,1.35007849293564,210.358139534884
1254,Audi 80 2.8 E V6 Quattro - [1991],172,5500,181.0,3000.0,0.0,2771.0,169.0,137.0,220.0,120.2,1991,1990s,Audi,1.43094841930116,126.489534883721
1255,BMW 3 Series 325i Sport Manual E30 - [1986],171,5800,167.0,4000.0,0.0,2494.0,152.1,138.0,222.0,141.4,1986,1980s,BMW,1.20933521923621,138.092397660819
1256,Ford Focus ST 170 - [2002],171,7000,144.0,5500.0,0.0,1989.0,121.3,134.0,215.0,141.5,2002,2000s,Ford,1.20848056537102,119.157894736842
1257,Nissan 200SX S13 1.8T - [1988],171,6400,168.0,4000.0,0.0,1809.0,110.3,140.0,225.0,144.3,1988,1980s,Nissan,1.1850311850311799,141.76842105263202
1258,Audi A3 2.0tdi Quattro S-Line - [2008],170,4200,258.0,2500.0,0.0,1968.0,120.0,138.0,222.0,126.3,2008,2000s,Audi,1.34600158353127,191.678823529412
1259,Renault Clio 2.0 16V 172 Cup - [2000],170,6250,147.0,5400.0,0.0,1998.0,121.9,138.0,222.0,160.5,2000,2000s,Renault,1.0591900311526499,138.785294117647
1260,Seat Leon 2.0 16v TDI FR - [2006],170,4200,258.0,1800.0,0.0,1968.0,120.0,133.0,214.0,127.7,2006,2000s,Seat,1.33124510571652,193.803529411765
1261,Volkswagen(VW) Golf 2.3 V5 - [2001],170,6200,166.0,3200.0,0.0,2324.0,141.8,139.0,223.0,132.3,2001,2000s,Volkswagen(VW),1.2849584278155701,129.187058823529
1262,Alfa-Romeo Mito 170 Quadrifoglio Verde - [2011],170,5500,184.0,2500.0,0.0,1368.0,83.4,136.0,218.0,148.4,2011,2010s,Alfa-Romeo,1.1455525606469,160.621176470588
1263,Hudson Hornet 308 5L - [1954],170,3800,278.0,2600.0,0.0,5047.0,307.9,106.0,170.0,94.3,1954,1950s,Hudson,1.8027571580063602,154.208235294118
1264,Peugeot 505 2.8 V6 - [1986],170,5600,173.0,4250.0,0.0,2849.0,173.8,121.0,194.0,127.7,1986,1980s,Peugeot,1.33124510571652,129.953529411765
1265,Chevrolet Impala Custom Hardtop 6.6L V8 - [1972],170,3400,325.0,2000.0,0.0,6586.0,401.9,105.0,168.0,86.2,1972,1970s,Chevrolet,1.9721577726218102,164.794117647059
1266,Chevrolet Camaro 5.0 V8 RS - [1990],170,4000,255.0,2400.0,0.0,5016.0,306.0,130.0,209.0,112.2,1990,1990s,Chevrolet,1.51515151515152,168.3
1267,Honda Civic 1.8 VTi-S - [1997],169,7600,129.0,6300.0,0.0,1797.0,109.6,139.0,223.0,133.0,1997,1990s,Honda,1.2706766917293202,101.520710059172
1268,Audi TT 2.0TDI Quattro - [2006],168,4200,258.0,2500.0,0.0,1968.0,120.0,140.0,225.0,122.6,2006,2000s,Audi,1.37030995106036,188.278571428571
1269,Mini Cooper S Convertible 1.6 - [2004],168,6000,162.0,4000.0,0.0,1598.0,97.5,134.0,215.0,135.4,2004,2000s,Mini,1.24076809453471,130.564285714286
1270,Toyota MR2 GT Mk2 Rev 1 - [1990],168,6600,140.0,4800.0,0.0,1998.0,121.9,137.0,220.0,138.8,1990,1990s,Toyota,1.21037463976945,115.666666666667
1271,Vauxhall-Opel Astra 2.0 Turbo SRI - [2005],168,5200,184.0,1950.0,0.0,1998.0,121.9,135.0,217.0,126.9,2005,2000s,Vauxhall-Opel,1.3238770685579198,138.985714285714
1272,Volkswagen(VW) Golf GT TDi 170 - [2006],168,4200,258.0,1750.0,0.0,1968.0,120.0,137.0,220.0,129.9,2006,2000s,Volkswagen(VW),1.2933025404157,199.489285714286
1273,Citroen SM 2.7L V6 - [1970],168,5500,170.0,4000.0,0.0,2670.0,162.9,135.0,217.0,115.8,1970,1970s,Citroen,1.45077720207254,117.17857142857099
1274,Mercedes SL Class 280SL W113 - [1970],168,5750,177.0,4500.0,0.0,2778.0,169.5,124.0,199.0,123.5,1970,1970s,Mercedes,1.36032388663968,130.116071428571
1275,Mercedes SL Class 280SL W113 - [1967],168,5750,177.0,4500.0,0.0,2778.0,169.5,124.0,199.0,123.5,1967,1960s,Mercedes,1.36032388663968,130.116071428571
1276,Audi 80 2.3 20v Quattro - [1989],168,6000,162.0,4500.0,0.0,2309.0,140.9,140.0,225.0,131.7,1989,1980s,Audi,1.27562642369021,126.996428571429
1277,Fiat Stilo Abarth 2.4 20v - [2001],168,6000,163.0,3500.0,0.0,2446.0,149.2,132.0,212.0,127.2,2001,2000s,Fiat,1.32075471698113,123.41428571428601
1278,Mitsubishi Lancer 2000 Turbo 2nd Gen - [1981],168,5500,181.0,3500.0,0.0,1997.0,121.8,124.0,199.0,168.0,1981,1980s,Mitsubishi,1.0,181.0
1279,Citroen Xsara 2.0 16V VTS - [1998],167,7000,142.0,4750.0,0.0,1997.0,121.8,137.0,220.0,140.3,1998,1990s,Citroen,1.19030648610121,119.29700598802401
1280,Fiat 130 3.2 V6 Coupe - [1971],167,5600,184.0,3400.0,0.0,3235.0,197.4,123.0,197.0,107.1,1971,1970s,Fiat,1.55929038281979,118.002395209581
1281,Fiat Bravo 1.9 Sport Multijet - [2007],167,7000,142.0,4750.0,0.0,1910.0,116.5,137.0,220.0,122.7,2007,2000s,Fiat,1.36104319478403,104.33173652694599
1282,Ford Mondeo ST24 - [1997],167,6250,162.0,4250.0,0.0,2544.0,155.2,131.0,210.0,126.9,1997,1990s,Ford,1.3159968479117399,123.100598802395
1283,Hyundai Coupe 2.7 V6 - [2001],167,6000,181.0,4000.0,0.0,2657.0,162.1,135.0,217.0,125.2,2001,2000s,Hyundai,1.3338658146964901,135.695808383234
1284,Peugeot 306 GTi 6 - [1996],167,6500,145.0,5500.0,0.0,1998.0,121.9,130.0,209.0,137.5,1996,1990s,Peugeot,1.21454545454545,119.38622754491001
1285,Peugeot 306 2.0 Rallye - [1998],167,6500,145.0,5500.0,0.0,1998.0,121.9,130.0,209.0,137.5,1998,1990s,Peugeot,1.21454545454545,119.38622754491001
1286,Citroen CX 25 GTi Turbo - [1984],166,5000,217.0,3250.0,0.0,2500.0,152.5,129.0,207.0,117.8,1984,1980s,Citroen,1.4091680814940601,153.99156626506002
1287,Audi 100 2.2 Turbo Quattro - [1986],165,5500,177.0,3000.0,0.0,2226.0,135.8,134.0,215.0,113.7,1986,1980s,Audi,1.4511873350923503,121.969090909091
1288,Lotus Elan SE - [1989],165,6600,148.0,4200.0,0.0,1588.0,96.9,137.0,220.0,161.4,1989,1980s,Lotus,1.02230483271375,144.77090909090902
1289,Ford Falcon 1st Gen Sports Hardtop 260 V8 4-Speed - [1963],164,4400,258.0,2200.0,0.0,4267.0,260.3,100.0,160.0,119.8,1963,1960s,Ford,1.36894824707846,188.465853658537
1290,Audi A4 1.8T Sport - [2004],163,5700,177.0,4700.0,0.0,1798.0,109.7,142.0,228.0,118.5,2004,2000s,Audi,1.37552742616034,128.67791411042901
1291,Peugeot RCZ 2.0 HDi 200 GT - [2009],163,3750,251.0,2000.0,0.0,1997.0,121.8,134.0,215.0,118.9,2009,2000s,Peugeot,1.37089991589571,183.091411042945
1292,Talbot Tagora SX 2.7 V6 - [1982],163,6000,170.0,4200.0,0.0,2664.0,162.5,121.0,194.0,129.8,1982,1980s,Talbot,1.2557781201848999,135.374233128834
1293,Mazda 6 Sport MZR 2.3i - [2001],163,6500,153.0,4000.0,0.0,2261.0,137.9,131.0,210.0,115.1,2001,2000s,Mazda,1.41615986099044,108.03865030674801
1294,Lotus Esprit S1 2.0 - [1975],162,6200,140.0,4900.0,0.0,1973.0,120.4,137.0,220.0,180.0,1975,1970s,Lotus,0.9,155.555555555556
1295,Porsche 944 2.7 - [1988],162,5800,166.0,4200.0,0.0,2681.0,163.6,137.0,220.0,125.5,1988,1980s,Porsche,1.29083665338645,128.598765432099
1296,Datsun 240 Z Coupe - [1969],161,5600,146.0,4400.0,0.0,2393.0,146.0,125.0,201.0,157.0,1969,1960s,Datsun,1.02547770700637,142.372670807453
1297,Fiat Punto Evo Abarth 1.4 Turbo - [2011],161,5500,184.0,2250.0,0.0,1368.0,83.4,132.0,212.0,127.7,2011,2010s,Fiat,1.26076742364918,145.942857142857
1298,Caterham 7 Superlight R300 - [2003],160,7000,130.0,5000.0,4.7,1796.0,109.5,130.0,209.0,320.0,2003,2000s,Caterham,0.5,260.0
1299,Ford Capri 2.8i - [1981],160,5700,162.0,3000.0,0.0,2792.0,170.3,129.0,207.0,134.4,1981,1980s,Ford,1.19047619047619,136.08
1300,Mini Cooper S 1.6 - [2001],160,0,155.0,0.0,0.0,1598.0,97.5,126.0,202.0,140.3,2001,2000s,Mini,1.14041339985745,135.915625
1301,Peugeot 405 2.0 Mi 16 - [1988],160,6500,133.0,5000.0,0.0,1905.0,116.2,134.0,215.0,144.1,1988,1980s,Peugeot,1.11034004163775,119.783125
1302,Renault 5 Turbo 2 - [1983],160,6000,163.0,3250.0,0.0,1397.0,85.2,130.0,209.0,164.9,1983,1980s,Renault,0.970285021224985,167.991875
1303,Jaguar XK 120 Roadster - [1948],160,5000,195.0,2500.0,0.0,3442.0,210.0,125.0,201.0,123.5,1948,1940s,Jaguar,1.29554655870445,150.515625
1304,Ford Sierra XR4i 2.8L V6 - [1984],160,5700,159.0,4300.0,0.0,2792.0,170.3,130.0,209.0,132.7,1984,1980s,Ford,1.20572720422005,131.870625
1305,Volkswagen(VW) Golf G60 Supercharged - [1990],160,5600,166.0,4000.0,0.0,1781.0,108.6,134.0,215.0,148.5,1990,1990s,Volkswagen(VW),1.0774410774410799,154.06875
1306,Lotus Esprit S3 2.0L - [1981],160,6500,160.0,5250.0,0.0,2174.0,132.6,135.0,217.0,149.9,1981,1980s,Lotus,1.06737825216811,149.9
1307,Jaguar Mark VII 3.4L - [1950],160,5200,195.0,2500.0,0.0,3442.0,210.0,101.0,162.0,95.4,1950,1950s,Jaguar,1.67714884696017,116.26875
1308,Jaguar Mark VII 3.4L 12v - [1954],160,5200,195.0,2500.0,0.0,3442.0,210.0,102.0,164.0,91.2,1954,1950s,Jaguar,1.7543859649122802,111.15
1309,BMW 3200 CS Coupe - [1962],160,5600,177.0,3600.0,0.0,3169.0,193.3,124.0,199.0,106.6,1962,1960s,BMW,1.5009380863039399,117.92625
1310,Audi A4 1.8T Avant - [2008],158,6200,184.0,4500.0,0.0,1798.0,109.7,140.0,225.0,107.4,2008,2000s,Audi,1.47113594040968,125.073417721519
1311,Fiat 500 1.4 T-Jet Abarth Essessee - [2008],158,5750,170.0,3000.0,0.0,1368.0,83.4,131.0,210.0,152.6,2008,2000s,Fiat,1.03538663171691,164.189873417722
1312,Mazda MX5 2.0i Roadster Coupe - [2009],158,6700,139.0,5000.0,0.0,1999.0,121.9,132.0,212.0,135.6,2009,2000s,Mazda,1.1651917404129801,119.29367088607599
1313,MG ZR 1.8i VVC 160 - [2001],158,7000,128.0,4500.0,0.0,1796.0,109.5,131.0,210.0,144.9,2001,2000s,MG,1.0904071773637,117.387341772152
1314,Volkswagen(VW) Corrado G60 - [1988],158,5800,166.0,4000.0,0.0,1781.0,108.6,139.0,223.0,141.7,1988,1980s,Volkswagen(VW),1.11503175723359,148.87468354430402
1315,Alfa-Romeo GTV 6 2.5 - [1981],158,5600,157.0,4000.0,0.0,2492.0,152.0,132.0,212.0,130.5,1981,1980s,Alfa-Romeo,1.21072796934866,129.674050632911
1316,Porsche 911 S - [1967],158,6600,132.0,5200.0,0.0,1991.0,121.4,137.0,220.0,148.7,1967,1960s,Porsche,1.06254203093477,124.230379746835
1317,Honda Civic 2.0i VTEC Type S - [2000],157,6300,132.0,4300.0,0.0,1998.0,121.9,131.0,210.0,125.8,2000,2000s,Honda,1.24801271860095,105.768152866242
1318,MG F 1.8i VVC 160ps Trophy - [2001],157,7000,135.0,4500.0,0.0,1796.0,109.5,137.0,220.0,146.0,2001,2000s,MG,1.07534246575342,125.541401273885
1319,Lotus Elise S2 1.8 111S - [2002],156,7000,129.0,4650.0,0.0,1796.0,109.5,131.0,210.0,181.3,2002,2000s,Lotus,0.8604522890237181,149.921153846154
1320,Alfa-Romeo 166 2.0 ts - [2000],155,6400,138.0,2800.0,0.0,1970.0,120.2,0.0,0.0,98.5,2000,2000s,Alfa-Romeo,1.57360406091371,87.6967741935484
1321,Peugeot 208 1.6 THP - [2012],155,6000,192.0,1750.0,0.0,1598.0,97.5,134.0,215.0,142.2,2012,2010s,Peugeot,1.09001406469761,176.14451612903198
1322,Peugeot 604 GTi 2.8 V6 - [1984],155,5750,173.0,3000.0,0.0,2849.0,173.8,118.0,189.0,109.1,1984,1980s,Peugeot,1.42071494042163,121.76967741935499
1323,Citroen DS3 1.6 THP 150 - [2009],154,6000,177.0,1400.0,0.0,1598.0,97.5,133.0,214.0,124.1,2009,2000s,Citroen,1.24093473005641,142.63441558441602
1324,Alfa-Romeo 90 2.5 V6 Gold Cloverleaf - [1985],154,5600,155.0,4000.0,0.0,2492.0,152.0,126.0,202.0,131.6,1985,1980s,Alfa-Romeo,1.17021276595745,132.454545454545
1325,Alfa-Romeo Mito 1.4 155 T-Jet Veloce - [2008],153,5500,170.0,3000.0,0.0,1368.0,83.4,134.0,215.0,133.6,2008,2000s,Alfa-Romeo,1.14520958083832,148.444444444444
1326,Fiat Grande Punto 1.4 T-Jet 155 Abarth - [2008],153,5500,170.0,3000.0,0.0,1368.0,83.4,129.0,207.0,129.1,2008,2000s,Fiat,1.18512780790085,143.444444444444
1327,Ford Puma 1.7i 16V Ford Racing - [2000],153,6300,119.0,4500.0,0.0,1679.0,102.4,125.0,201.0,147.1,2000,2000s,Ford,1.0401087695445301,114.411111111111
1328,Fiat Bravo 2.0 20V 155 HGT - [1997],152,6500,137.0,3750.0,0.0,1998.0,121.9,132.0,212.0,127.7,1997,1990s,Fiat,1.19028974158183,115.098026315789
1329,Jensen 541 R 4.0 12v - [1957],152,4100,227.0,2400.0,0.0,3990.0,243.4,128.0,205.0,103.4,1957,1950s,Jensen,1.4700193423597698,154.419736842105
1330,Alfa-Romeo 145 Cloverleaf - [1994],150,6200,138.0,4000.0,0.0,1970.0,120.2,129.0,207.0,125.0,1994,1990s,Alfa-Romeo,1.2,115.0
1331,Alfa-Romeo 146 ti - [1994],150,6200,138.0,4000.0,0.0,1970.0,120.2,130.0,209.0,122.4,1994,1990s,Alfa-Romeo,1.22549019607843,112.60799999999999
1332,Ford Escort RS 2000 4x4 MK5 - [1991],150,6000,140.0,4500.0,0.0,1998.0,121.9,129.0,207.0,139.2,1991,1990s,Ford,1.07758620689655,129.92
1333,Honda Civic CRX 1.6i VTEC - [1990],150,7600,106.0,7100.0,0.0,1590.0,97.0,130.0,209.0,146.6,1990,1990s,Honda,1.02319236016371,103.597333333333
1334,MG Maestro 2.0 Turbo - [1988],150,5100,169.0,3500.0,0.0,1994.0,121.6,129.0,207.0,137.9,1988,1980s,MG,1.0877447425670799,155.367333333333
1335,Renault Clio 2.0 16V Williams - [1993],150,6100,126.0,4500.0,0.0,1998.0,121.9,134.0,215.0,148.5,1993,1990s,Renault,1.01010101010101,124.74
1336,Seat Ibiza 1.8 20vt FR - [2004],150,5500,162.0,2000.0,0.0,1781.0,108.6,135.0,217.0,129.9,2004,2000s,Seat,1.1547344110854498,140.292
1337,Seat Ibiza 1.8 20vt FR - [2007],150,5500,162.0,2000.0,0.0,1781.0,108.6,134.0,215.0,129.9,2007,2000s,Seat,1.1547344110854498,140.292
1338,Volkswagen(VW) Golf 2.0 FSI - [2003],150,6000,147.0,3250.0,0.0,1984.0,121.0,131.0,210.0,117.6,2003,2000s,Volkswagen(VW),1.2755102040816297,115.24799999999999
1339,Volkswagen(VW) Golf 2.0 GTi 16V - [1994],150,6000,133.0,4600.0,0.0,1984.0,121.0,134.0,215.0,127.0,1994,1990s,Volkswagen(VW),1.1811023622047199,112.60666666666701
1340,Volkswagen(VW) Passat 1.8 20V Turbo - [1999],150,5700,154.0,1750.0,0.0,1781.0,108.6,138.0,222.0,111.2,1999,1990s,Volkswagen(VW),1.34892086330935,114.165333333333
